,Timestamp,Source IP,Destination IP,Protocol,Payload
116,22:54:40,13.107.246.48,192.168.0.101,TCP,7520a8b786b6403f7a569ebac24b43d1a2a5be21ec84788c8cb896b8497b65dbabee06d98b1be46b9d2149c4e8813405c6e8ef42bd47300efc3a4b042f5d323e5ab5809a9b9fbc9ccb5de5d0c02ab5db72a006b52c909d299f3aaa1bdc5deec7f9799f8e
117,22:54:40,13.107.246.48,192.168.0.101,TCP,79229b9ef025a8b711e93268e29d02cd64cf333dc7f771550331a7b3b97877ad9c3d0049ee7b691cb7904bce87059bbb88af492bb9e8f9c37ba2c37ecc1e25b77473096a262dbebade6fa2a33455be3246d8dd7a276b5a9870802dd5dfd8cadbb986363b
118,22:54:40,13.107.246.48,192.168.0.101,TCP,0febd0f7aea8c6152ebd472df106b1e613904b1399d928718dc5019d34cde7d95de8e1ac6fe0331e8b1fd71c35de5e794309d5bc3d760fcb78e9529e710e8c8d314a60ac92501960b1e8b0b82156f90d22ee38c6c02a590f65751f5ddc013ff41b10c577
119,22:54:40,192.168.0.101,13.107.246.48,TCP,<no payload>
120,22:54:40,192.168.0.101,13.107.246.48,TCP,14030300010117030300450ae6a7603fc823eea79da0611c754131fcd7442c3ca9be76b6c85b1c97152cb0419a7e23fd007ec8d2431a97d4dbc5953653e330e144cd7eea81ff9542c555c3877b111ef8
121,22:54:40,192.168.0.101,13.107.246.48,TCP,170303004b041c0ca07ab200ee35e70d92afa58d3292b54d5b24248dbf0a020c2cdb82f026731f6193933bfe78358da43d1bcb14bb87a4239efc89e4f2caffda62905ad85a75be0f6c117d96d1c74359
122,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
123,22:54:40,192.168.0.101,13.107.246.48,TCP,1703030ac315b8bacafe7ff8d3fbe01858c79b597f8efc92337c9d5558ad3af8adb00873789ebfc46d3a5dd0e1b6ec1625045ef2ff729efaa3d00e60202899d32f90e82910432ed674be5f70d2530db3a0364d282e8fbe9b2b987c5ab3fe05868c118b0a
124,22:54:40,192.168.0.101,13.107.246.48,TCP,1703030c46c3df44c5cb702d7f39e6df4cdfd40209ddd0402acc3a1b2e45b6a01d46ef4e1d3763f8ca28bbbb44fa1d0cd2aeb8107a8099c8a25e14e699ba1bcbe91279229f944a202e07f7297ad154e377935d06ae90003d9212c0e794ec4f509f230d8e
125,22:54:40,13.107.246.48,192.168.0.101,TCP,170303012afba1a5e7cf4888010b0637700d9a82f411a5dcc271820fdb93bc94464b7408c40cbc0046a35bea89ab8523ef841be213cbf6ebfcace56d4d60964d7fb835e9dc6df4a89088f63a26a11c0b51c419f8fe97359318f632b9fe8261e58f3c5132
